"Name","Created","Runtime","End Time","Hostname","Notes","GPU Type","Updated","Tags","ae_hidden","ae_resblocks","alpha","c_num","dsf","z_channels","Bits_per_pixel","test_crossH","test_mse","test_softcrossH","test_total","train_crossH","train_mse","train_softcrossH","train_total","zdim"
"dazzling-frost-204","2021-04-21T15:24:28.000Z","1349","2021-04-21T15:46:57.000Z","gpu006.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T15:46:57.000Z","","64","2","0","8","2","4","0.7335092890098907","2.033719542694092","0.004160494954884052","0","2.037880028915405","2.0314536094665527","0.0044983262196183205","0","2.035951852798462","1024"
"jumping-cloud-209","2021-04-21T15:24:29.000Z","6094","2021-04-21T17:06:03.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T17:06:03.000Z","","64","2","0.001","8","2","4","0.7150817120228161","1.982627586364746","0.004172142131626606","2.058591153717041","1.988858324623108","1.988413453102112","0.004531559534370899","2.060803174972534","1.9950058460235596","1024"
"sleek-frost-205","2021-04-21T15:24:28.000Z","6078","2021-04-21T17:05:46.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T17:05:46.000Z","","64","2","0.002","8","2","4","0.7024791120920638","1.9476856824874875","0.004296891517937183","2.0138891708374023","1.9560103618621827","1.9434953927993777","0.004690238274633884","2.0146522521972656","1.9522149562835691","1024"
"major-grass-198","2021-04-21T15:24:28.000Z","1336","2021-04-21T15:46:44.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T15:46:44.000Z","","64","2","0.004","8","2","4","0.5259049894923061","1.4581182178497314","0.005429324590414762","1.7349068433761596","1.4704871686935426","1.474530816078186","0.006001434754580259","1.7400795221328735","1.487492561340332","1024"
"fresh-resonance-195","2021-04-21T15:24:27.000Z","1373","2021-04-21T15:47:20.000Z","gpu007.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T15:47:20.000Z","","64","2","0.006","8","2","4","0.4385640136979214","1.21595756816864","0.00595291279181838","1.510617727279663","1.230974182510376","1.2395122051239014","0.006475308910012245","1.518506407737732","1.255098581314087","1024"
"earthy-pine-225","2021-04-21T15:34:33.000Z","6094","2021-04-21T17:16:07.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T17:16:07.000Z","","64","2","0.01","8","2","4","0.3904100542154215","1.0824464834213257","0.007029637797176838","1.3306679557800294","1.1027827949523925","1.0190140008926392","0.0083438940346241","1.327595353126526","1.0406337976455688","1024"
"good-frost-204","2021-04-21T15:24:28.000Z","1361","2021-04-21T15:47:09.000Z","gpu006.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T15:47:09.000Z","","64","2","0","16","2","4","0.9558958579135632","2.6503062618255617","0.0027357507716864347","0","2.653042018890381","2.646667957305908","0.002838930580765009","0","2.6495068073272705","1024"
"elated-darkness-209","2021-04-21T15:24:29.000Z","6083","2021-04-21T17:05:52.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T17:05:52.000Z","","64","2","0.001","16","2","4","0.8677489641251709","2.405911019515991","0.003017990170046687","2.6050567642211915","2.411534069442749","2.3933677673339844","0.003154293866828084","2.598470687866211","2.399120569229126","1024"
"dazzling-waterfall-209","2021-04-21T15:24:29.000Z","6101","2021-04-21T17:06:10.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T17:06:10.000Z","","64","2","0.002","16","2","4","0.7528953656229571","2.0874692638397216","0.003491802969574928","2.442391831588745","2.095845861053467","2.0998406410217285","0.0035857982002198696","2.434972763061523","2.1082963943481445","1024"
"treasured-flower-198","2021-04-21T15:24:28.000Z","1355","2021-04-21T15:47:03.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T15:47:03.000Z","","64","2","0.004","16","2","4","0.5894878340536795","1.634407375907898","0.004376430732011795","2.121988013839722","1.6472717588424683","1.6127912998199463","0.00454246811568737","2.11504864692688","1.6257939338684082","1024"
